Posted On,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Currency
5/18/2022,2,1900000,1100,Ground out of 2,Super Area,Jakarta,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
5/13/2022,2,3800000,800,1 out of 3,Super Area,Surabaya,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
5/16/2022,2,3230000,1000,1 out of 3,Super Area,Bandung,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
7/4/2022,2,1900000,800,1 out of 2,Super Area,Medan,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
5/9/2022,2,1425000,850,1 out of 2,Carpet Area,Semarang,Unfurnished,Bachelors,1,Contact Owner,IDR
4/29/2022,2,1330000,600,Ground out of 1,Super Area,Makassar,Unfurnished,Bachelors/Family,2,Contact Owner,IDR
6/21/2022,2,1900000,700,Ground out of 4,Super Area,Yogyakarta,Unfurnished,Bachelors,2,Contact Agent,IDR
6/21/2022,1,950000,250,1 out of 2,Super Area,Denpasar,Unfurnished,Bachelors,1,Contact Agent,IDR
6/7/2022,2,4940000,800,1 out of 2,Carpet Area,Palembang,Unfurnished,Bachelors,2,Contact Agent,IDR
6/20/2022,2,1900000,1000,1 out of 3,Carpet Area,Malang,Semi-Furnished,Bachelors/Family,2,Contact Owner,IDR
5/23/2022,3,4750000,1200,1 out of 4,Carpet Area,Jakarta,Semi-Furnished,Bachelors/Family,2,Contact Agent,IDR
6/7/2022,1,950000,400,1 out of 1,Carpet Area,Surabaya,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/14/2022,1,1235000,250,1 out of 4,Carpet Area,Bandung,Furnished,Bachelors,1,Contact Owner,IDR
5/9/2022,1,1045000,375,1 out of 2,Carpet Area,Medan,Unfurnished,Bachelors/Family,1,Contact Agent,IDR
5/5/2022,3,1615000,900,Ground out of 2,Carpet Area,Semarang,Unfurnished,Bachelors,2,Contact Owner,IDR
6/1/2022,3,7600000,1286,1 out of 1,Carpet Area,Makassar,Furnished,Bachelors/Family,2,Contact Owner,IDR
5/17/2022,2,1140000,600,1 out of 2,Super Area,Yogyakarta,Semi-Furnished,Bachelors/Family,1,Contact Owner,IDR
6/20/2022,2,1900000,800,Ground out of 2,Super Area,Denpasar,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
6/9/2022,2,2090000,2000,Ground out of 3,Carpet Area,Palembang,Unfurnished,Bachelors/Family,1,Contact Owner,IDR
